,S_No,Sentence,Negative_Sentiment_Score,Positive_Sentiment_Score,Neutral_Sentiment_Score,COMPOUND_SCORE
26,27,I reallllllly hate Tom Cruise...,0.552,0.0,0.448,-0.5719
27,28,"To my understanding, Harvard is a very difficult college to get in to.",0.202,0.0,0.798,-0.4201
28,29,Boston can suck my fucking tits...,0.367,0.0,0.633,-0.4404
29,30,I loved Boston and MIT so much and still do.,0.0,0.328,0.672,0.5994
30,31,I like honda civics!!!!!!.,0.0,0.647,0.353,0.5673
31,32,"no matter how obvious it is to me that George W Bush is an arrogant idiot liar, there are plenty of people who believe him.",0.374,0.034,0.592,-0.8979
32,33,I love the Los Angeles Lakers...,0.0,0.512,0.488,0.6369
33,34,the stupid honda lol or a BUG!..,0.352,0.267,0.381,-0.2244
34,35,seattle sucks anyways.,0.556,0.0,0.444,-0.3612
35,36,I want a ThinkPad or something.,0.0,0.302,0.698,0.0772
36,37,"I love Shanghai, it's such a great city, and Hongzhou is only a two hour train ride away from it.",0.0,0.356,0.644,0.8519
37,38,My Purdue Cal friends are awesome!..,0.0,0.404,0.596,0.5255
38,39,Shanghai is beautiful ~..,0.0,0.565,0.435,0.5994
39,40,london sucks....,0.0,0.0,1.0,0.0
40,41,i love my new Macbook..,0.0,0.583,0.417,0.6369
41,42,i love my new Macbook..,0.0,0.583,0.417,0.6369
42,43,"i'd love to see the clips and lakers in the second round, though the winner would just be a stepping stone for the mavs or spurs...",0.0,0.258,0.742,0.8402
43,44,Awesome diner here @ Purdue...,0.0,0.577,0.423,0.6249
44,45,i love my new Macbook..,0.0,0.583,0.417,0.6369
45,46,"San Francisco was brilliant, Sausalito...",0.0,0.487,0.513,0.5859
46,47,"As for myself, I'm wanting a new Honda Element with a prescription windshield....",0.0,0.0,1.0,0.0
47,48,"i think if i hate boston, ill just disappear to california for the summers...",0.483,0.0,0.517,-0.8126
48,49,I love the Toyota Prius.,0.0,0.583,0.417,0.6369
49,50,seattle sucks anyways.,0.556,0.0,0.444,-0.3612
50,51,I love Harvard Square in the fall.,0.0,0.457,0.543,0.6369
51,52,I want a tour of London on the back of that bike!,0.0,0.15,0.85,0.1511
52,53,I know you're way too smart and way too cool to let stupid UCLA get to you...,0.159,0.234,0.607,0.1531
53,54,The Lakers are playing really awesome ball.,0.0,0.553,0.447,0.7346
54,55,"It isn't over until its over though, and for now my brain is set on "" I love Harvard, I want to come to Harvard "" mode.....",0.0,0.208,0.792,0.6705
55,56,"harvard is dumb, i mean they really have to be stupid to have not wanted her to be at their school.",0.271,0.0,0.729,-0.7717
56,57,I'm loving Shanghai > > > ^ _ ^.,0.0,0.565,0.435,0.5994
57,58,harvard is for dumb people.,0.452,0.0,0.548,-0.5106
58,59,"As i stepped out of my beautiful Toyota, i heard a scream as a gust of wind had just passed.",0.131,0.189,0.68,0.296
59,60,"Bodies being dismembered, blown apart, and mutilated in any number of ways, or Angelina Jolie sucking a dick on a 30 foot screen?..",0.14,0.055,0.805,-0.4588
60,61,I love Harvard Square in the fall.,0.0,0.457,0.543,0.6369
61,62,London = amazing...,0.0,0.0,1.0,0.0
62,63,I HATE LONDON!..,0.8,0.0,0.2,-0.6114
63,64,I love MIT so much...,0.0,0.583,0.417,0.6369
64,65,I told her that UCLA is excellent for both...,0.0,0.346,0.654,0.5719
65,66,I think at this moment i love San Francisco better than L. A..,0.0,0.441,0.559,0.7964
66,67,"I think Angelina Jolie is so much more beautiful than Jennifer Anniston, who, by the way, is majorly OVERRATED.",0.0,0.208,0.792,0.6659
67,68,I also love Boston Legal...,0.0,0.583,0.417,0.6369
68,69,the stupid honda lol or a BUG!..,0.352,0.267,0.381,-0.2244
69,70,"Personally, I blame Angelina Jolie, a psychologically-damaged attention-seeker who seems to have somehow convinced almost every woman on LJ that having an icon with her face on it makes you a sexually-interesting noncomformist wildchild.",0.07,0.079,0.85,0.0772
70,71,i've decided i really miss london.,0.321,0.0,0.679,-0.2247
71,72,"Prolly going to Cambridge on Tuesday, I need to see MIT to survive till the rest of the term.",0.0,0.0,1.0,0.0
72,73,Angelina Jolie is very beautiful!!!....,0.0,0.0,1.0,0.0
73,74,"yea i love mit, and i really dk why.",0.0,0.412,0.588,0.6369
74,75,oh! Traffic in Seattle sucks!,0.435,0.0,0.565,-0.4738
75,76,That's why I most love the Harvard story:,0.0,0.428,0.572,0.6697
76,77,I love UCLA but miss everyone from back home.,0.181,0.248,0.571,0.1779
77,78,PARIS HILTON SUCKS!,0.583,0.0,0.417,-0.4199
78,79,"Tough game to pick, but I'll take Seattle at home with the mobile QB and Matt Morris against a pitiful St. Louis run defense.",0.203,0.064,0.733,-0.5859
79,80,"Anyway, some crappy Honda, but, as is young peoples'customs, it has a good $ 2 million worth of sound equipment inside.",0.098,0.264,0.638,0.5994
80,81,", sticking a nerf football on lennon's ugly toyota, kissing the audi, ummm...",0.206,0.231,0.563,0.1027
81,82,i love you my harvard boy..(,0.0,0.512,0.488,0.6369
82,83,"I also love the new rabbits, I still want an x-terra-but Luke's will do, and I kinda like Honda Elements, but they got a bad safety rating: (..",0.145,0.276,0.579,0.319
83,84,Oh my god I LOVE Pommes mit Mayo.,0.0,0.584,0.416,0.7925
84,85,i love angelina jolie.,0.0,0.677,0.323,0.6369
85,86,I know you're way too smart and way too cool to let stupid UCLA get to you...,0.159,0.234,0.607,0.1531
86,87,"I'm not crazy about HK either, but Shanghai is sounding awesome.",0.0,0.443,0.557,0.8002
87,88,I love the Toyota Prius.,0.0,0.583,0.417,0.6369
88,89,æˆ‘é‚„åœ¨ç”¨that stupid BOX CAR-HONDA CRX = o = ã€‚ CRAP GAME!..,0.539,0.0,0.461,-0.792
89,90,I hate Paris Hilton..,0.649,0.0,0.351,-0.5719
90,91,"AAA's "" Q "" is catchy and an ear worm, like many of the things they've done.",0.0,0.161,0.839,0.3612
91,92,I need to pay Geico and a host of other bills but that is neither here nor there.,0.074,0.0,0.926,-0.0516
92,93,Shanghai is beautiful ~..,0.0,0.565,0.435,0.5994
93,94,"And as stupid as San Francisco's road system is, we weren't able to turn back because of how all the roads are one-way streets.",0.129,0.0,0.871,-0.5267
94,95,I like Honda...,0.0,0.714,0.286,0.3612
95,96,"i love san francisco, driving over the bridge i get so excited for whats to come, i get rush of air each time i go there...",0.0,0.268,0.732,0.8083
96,97,Stupid UCLA....,0.773,0.0,0.227,-0.5267
97,98,"harvard is dumb, i mean they really have to be stupid to have not wanted her to be at their school.",0.271,0.0,0.729,-0.7717
98,99,. I'm pleased to announce that Boston sucked...,0.0,0.326,0.674,0.4404
99,100,I still like Tom Cruise.,0.0,0.455,0.545,0.3612
100,101,The seattle scene is pretty amazing too....,0.0,0.583,0.417,0.7906
101,102,"Before I left Missouri, I thought London was going to be so good and cool and fun and a really great experience and I was really excited.",0.0,0.481,0.519,0.9493
102,103,"I think Angelina Jolie is so much more beautiful than Jennifer Anniston, who, by the way, is majorly OVERRATED.",0.0,0.208,0.792,0.6659
103,104,london sucks....,0.0,0.0,1.0,0.0
104,105,I was rejected by the stupid San Francisco literary agency that I sent my manuscript to.,0.358,0.0,0.642,-0.7717
105,106,"Mit humÃ¸r sucks for tiden, har super mange lektier, og jeg nyser hele tiden, min nÃ¦se er helt tilstoppet, og mit hovede fÃ¸les tungt..",0.088,0.137,0.775,0.34
106,107,i love seattle..,0.0,0.808,0.192,0.6369
107,108,"I love the London Little People, btw.",0.0,0.457,0.543,0.6369
108,109,mastercard is stupid.,0.63,0.0,0.37,-0.5267
109,110,I hate Paris Hilton..,0.649,0.0,0.351,-0.5719
110,111,"Kinda want a toyota tacoma, i like them much.....",0.0,0.412,0.588,0.3626
111,112,I'd like to talk today about how much I hate Paris Hilton.....,0.243,0.164,0.592,-0.296
112,113,I love MIT so much...,0.0,0.583,0.417,0.6369
113,114,have an awesome time at purdue!..,0.0,0.468,0.532,0.6588
114,115,"Today, Hillary Clinton is lambasted in an extremely vulgar fashion by a World leader:",0.0,0.0,1.0,0.0
115,116,Then we had stupid trivia about San Francisco and sci fi tv so we left...,0.195,0.0,0.805,-0.5267
116,117,I needed San Francisco but not until a month ago.,0.0,0.0,1.0,0.0
117,118,I want a tour of London on the back of that bike!,0.0,0.15,0.85,0.1511
118,119,I really hate Tom Cruise.,0.571,0.0,0.429,-0.6115
119,120,i went to look into the details about my graduation gear and when i came back my beautiful blue toyota PASS got a ticket for being 5 min.,0.0,0.145,0.855,0.5994
120,121,TAKE THAT STUPID UCLA!!!!!!!..,0.604,0.0,0.396,-0.6776
121,122,I hate Tom Cruise..,0.649,0.0,0.351,-0.5719
122,123,I used to like Tom Cruise but the Matt Lauer interview really turned me off.,0.0,0.119,0.881,0.1901
123,124,"Honda is excellent,'94 and up.",0.0,0.0,1.0,0.0
124,125,"Mind you, I blame the mother mit der early toilet training.",0.211,0.0,0.789,-0.34
125,126,I used to love Tom Cruise.,0.0,0.512,0.488,0.6369
126,127,& i adore my little honda < 3.,0.0,0.474,0.526,0.5574
127,128,boston college is good too < 33.,0.0,0.367,0.633,0.4404
128,129,I'd love a Toyota van..,0.0,0.583,0.417,0.6369
129,130,"Honda is calling back some 423,344 vehicles in its home market of Japan over faulty key interlocks which allow keys to be removed from the ignition when the gearshift is in positions other than'park.",0.064,0.052,0.884,-0.1027
130,131,"San Francisco is great for that, too.",0.0,0.406,0.594,0.6249
131,132,I love UCLA but miss everyone from back home.,0.181,0.248,0.571,0.1779
132,133,I love the Los Angeles Lakers...,0.0,0.512,0.488,0.6369
133,134,"usually, i can't at my house but i'm at the library but i moved into my aunts house in san carlos to go to school here because schools in san francisco sucks BIG TIME!",0.103,0.0,0.897,-0.5487
134,135,i want american express to let me check into rehab..,0.0,0.14,0.86,0.0772
135,136,I WANT MIT!!!!!!!!!!!!!!!!!!!!!!!!!!!!!..,0.0,0.712,0.288,0.3544
136,137,"I like being at Purdue, not with my family.",0.0,0.263,0.737,0.3612
137,138,wow i love your aaa..,0.0,0.8,0.2,0.8402
138,139,Funny that harvard was almost more stressful than MY AUDITION!,0.249,0.2,0.551,-0.1795
139,140,"Honda is calling back some 423,344 vehicles in its home market of Japan over faulty key interlocks which allow keys to be removed from the ignition when the gearshift is in positions other than'park.",0.064,0.052,0.884,-0.1027
140,141,Lakers Suck ( actually Kobe Sucks...,0.42,0.0,0.58,-0.4404
141,142,and I still hate UCLA bankers..,0.481,0.0,0.519,-0.5719
142,143,AAA rocks.,0.0,0.0,1.0,0.0
143,144,boston college is good too < 33.,0.0,0.367,0.633,0.4404
144,145,yes shanghai is such an ugly place.,0.3,0.245,0.455,-0.1531
145,146,"n metti wa gor wait me end up the ce,. then we hv dinner ga..... i love u galz say "" wait me "" aaa.",0.0,0.181,0.819,0.6369
146,147,Seattle sucks!!,0.755,0.0,0.245,-0.4738
147,148,And everybody knows I love Toyota!,0.0,0.529,0.471,0.6696
148,149,"i got like 9 AAA's during the course of the tournament, ive never been that consistent in a tournament before.",0.0,0.135,0.865,0.3612
149,150,"UCLA is a beautiful campus, and it feels great to be back in the classroom.",0.0,0.4,0.6,0.8402
150,151,"When I saw the letter that said 19,000 people applied, I no longer feel so crappy about the Harvard thing.",0.299,0.0,0.701,-0.7793
151,152,Honda's just stupid.,0.63,0.0,0.37,-0.5267
152,153,"I really hate London, there are very few people here, and those who are here, I never see.",0.21,0.0,0.79,-0.6115
153,154,"Yep, I'm still in London, which is pretty awesome: P Remind me to post the million and one pictures that I took when I get back to Markham!...",0.0,0.308,0.692,0.8687
154,155,We really need to competition between Visa / Mastercard to heat up enough that one of them drops their transaction fee..,0.0,0.0,1.0,0.0
155,156,Stupid UCLA....,0.773,0.0,0.227,-0.5267
156,157,I miss crossing London's bridges ( and am suffering severe case of London homesickness at the moment...! ).,0.464,0.0,0.536,-0.8553
157,158,i need clothes before i look stupid @ lakers....,0.405,0.0,0.595,-0.5267
158,159,i love seattle so much.,0.0,0.583,0.417,0.6369
159,160,"I'm not crazy about HK either, but Shanghai is sounding awesome.",0.0,0.443,0.557,0.8002
160,161,I had to tape because my mom had to watch her stupid Boston Legal and its a new TV / VCR so I was taping the wrong channel.,0.224,0.052,0.724,-0.7184
161,162,GEICO is a GREAT ride.,0.0,0.617,0.383,0.7034
162,163,i do i love angelina jolie!..,0.0,0.6,0.4,0.6696
163,164,I love Angelina Jolie.,0.0,0.677,0.323,0.6369
164,165,"San Francisco Coffee rocks, yo!",0.0,0.0,1.0,0.0
165,166,Shanghai is boring..,0.0,0.0,1.0,0.0
166,167,the fact that i love paris hilton or like the color pink...,0.0,0.427,0.573,0.7717
167,168,I love geico commercials.,0.0,0.677,0.323,0.6369
168,169,Tom Cruise needs to suck it up and so does Scientology in general.,0.195,0.0,0.805,-0.4404
169,170,I loved the Lakers episode where he told that little blonde he wants to see a woman rule the world in his lifetime because women know how to look after the pack.,0.0,0.119,0.881,0.5994
170,171,Purdue Band sucks.,0.556,0.0,0.444,-0.3612
171,172,"It's about the MacBook Pro, which is awesome and I want one, but I have my beloved iBook, and believe you me, I love it..",0.0,0.437,0.563,0.9319
172,173,I love the Toyota Prius.,0.0,0.583,0.417,0.6369
173,174,"I'm a big fan of Lakers, so I kind of have all the schedule for this season which it's end in april...",0.0,0.108,0.892,0.3182
174,175,"i've been incredibly busy lately, but seattle is fucking awesome & i love it.",0.0,0.552,0.448,0.9361
175,176,i love seattle so much.,0.0,0.583,0.417,0.6369
176,177,but the macbook looks so awesome.,0.0,0.596,0.404,0.8542
177,178,I would love to go Shanghai with sister..,0.0,0.412,0.588,0.6369
178,179,"I can only imagine, with the bloated egos and arrogant liberalism at Harvard, this effect was magnified...",0.176,0.0,0.824,-0.4939
179,180,stupid lakers....,0.773,0.0,0.227,-0.5267
180,181,"I like San Francisco, even though apparently we almost got jumped this past weekend.",0.0,0.172,0.828,0.3612
181,182,"Today, when Monkee was backing out of the Milpitas Library's parking lot, some old asian man driving a Toyota was driving the wrong way.",0.123,0.044,0.833,-0.4588
182,183,"Paris Hilton â€“ Sexy, relevant to a different kind of Bar...",0.0,0.274,0.726,0.5267
183,184,"Honda is excellent,'94 and up.",0.0,0.0,1.0,0.0
184,185,I can see why he might have had problems with Karen but Toyota Alexa is useless and Jo is MENTAL!!!,0.274,0.0,0.726,-0.7526
185,186,"but the fact that it's in Boston kind of kills it, because Boston basically sucks....",0.27,0.0,0.73,-0.7343
186,187,I need some of that geico balboa stuff..,0.0,0.0,1.0,0.0
187,188,i love my macbook...,0.0,0.677,0.323,0.6369
188,189,BOSTON SUCKS!!,0.755,0.0,0.245,-0.4738
189,190,"I like being at Purdue, not with my family.",0.0,0.263,0.737,0.3612
190,191,"i'd love to see the clips and lakers in the second round, though the winner would just be a stepping stone for the mavs or spurs...",0.0,0.258,0.742,0.8402
191,192,"Oh, how I onced loved to make Harvard undergrads cry with my grammar skillz!!",0.167,0.241,0.592,0.3365
192,193,"The history here goes back to the summer of 1992, when the San Francisco Giants were terrible.",0.162,0.0,0.838,-0.4767
193,194,angelina jolie is obviously a stupid ass...,0.405,0.0,0.595,-0.5267
194,195,"This means we beat out schools like MIT, which is amazing for a relatively small, unassuming lil'IS department.",0.0,0.296,0.704,0.743
195,196,Oh my god I LOVE Pommes mit Mayo.,0.0,0.584,0.416,0.7925
196,197,and honda elements are assholes...,0.0,0.0,1.0,0.0
197,198,. I'm pleased to announce that Boston sucked...,0.0,0.326,0.674,0.4404
198,199,As much as I hate Tom Cruise..,0.425,0.0,0.575,-0.5719
199,200,I hate United Airlines.....,0.493,0.373,0.133,-0.2263
200,201,I love MIT so much...,0.0,0.583,0.417,0.6369
201,202,I hate Paris Hilton.,0.649,0.0,0.351,-0.5719
202,203,I hate Paris Hilton.,0.649,0.0,0.351,-0.5719
203,204,"but the fact that it's in Boston kind of kills it, because Boston basically sucks....",0.27,0.0,0.73,-0.7343
204,205,the beautiful Harvard grad â€”..,0.0,0.494,0.506,0.5994
205,206,"At heart, what Hillary Clinton and Co. are doing is dismissing as a Bush fiction the idea of "" friendly "" Arab "" allies "" in the war of terror.",0.225,0.098,0.677,-0.6249
206,207,"I need john and michelle back in seattle, my longtime buddies, my rock.",0.0,0.0,1.0,0.0
207,208,I hated Boston.,0.808,0.0,0.192,-0.6369
208,209,miss you aaa ~..,0.348,0.0,0.652,-0.1531
209,210,stupid american airlines!!!.,0.681,0.0,0.319,-0.6458
210,211,"personally, i still love my 1999 toyota camry, 4 cylinder, 35mpg, gray, comfy, smooth, dependable....",0.0,0.259,0.741,0.6369
211,212,stupid kids and their need for Honda emblems):,0.327,0.0,0.673,-0.5267
212,213,I'd like to talk today about how much I hate Paris Hilton.....,0.243,0.164,0.592,-0.296
213,214,Hillary Clinton was arrogant and orally abusive to.,0.552,0.0,0.448,-0.8126
214,215,""" It's not like this is the first time it's happened, but Paris Hilton irks me to no end...",0.214,0.0,0.786,-0.5195
215,216,tom cruise sucks.,0.556,0.0,0.444,-0.3612
216,217,", Boston is great...",0.0,0.0,1.0,0.0
217,218,Harvard was fucking awesome missing it like hell.,0.394,0.384,0.223,-0.0478
218,219,stupid lakers....,0.773,0.0,0.227,-0.5267
219,220,"Oh man, last night's Lakers playoff game was awesome.",0.0,0.339,0.661,0.6249
220,221,AH SHIITE I LOST FIFTY CENTS TO THE SUPERBOWL { I HATE YOU SEATTLE!!! }...,0.455,0.0,0.545,-0.8534
221,222,"I love the London Little People, btw.",0.0,0.457,0.543,0.6369
222,223,I hate paris hilton too!,0.571,0.0,0.429,-0.6114
223,224,London was awesome our trip home..,0.0,0.451,0.549,0.6249
224,225,I love ucla.,0.0,0.808,0.192,0.6369
225,226,Cs: I've heard San Francisco is beautiful..,0.0,0.0,1.0,0.0
226,227,"Ladies, feast your eyes on the black 2.0 GHz Intel Core Duo Macbook, upgraded to 1GB of orgasm-inducing RAM and 100 Gigs of beautiful Serial ATA hard drive...",0.045,0.125,0.831,0.5423
227,228,I need some of that geico balboa stuff..,0.0,0.0,1.0,0.0
228,229,I love Tom Cruise!,0.0,0.692,0.308,0.6696
229,230,I hate the Lakers...,0.649,0.0,0.351,-0.5719
230,231,I so want a MacBook.,0.0,0.443,0.557,0.1513
231,232,All san Francisco has are shitty little old apts in this price range...,0.231,0.0,0.769,-0.5574
232,233,"Also, Seattle is fucking amazing..",0.0,0.0,1.0,0.0
233,234,macbook pro is sexy.,0.0,0.531,0.469,0.5267
234,235,I hate Tom Cruise..,0.649,0.0,0.351,-0.5719
235,236,I hate Paris Hilton.,0.649,0.0,0.351,-0.5719
236,237,stupid kids and their need for Honda emblems):,0.327,0.0,0.673,-0.5267
237,238,I love all the Lakers but Kobe is my fav!.,0.0,0.266,0.734,0.4389
238,239,UCLA was stupid.,0.63,0.0,0.37,-0.5267
239,240,I used to like Tom Cruise but the Matt Lauer interview really turned me off.,0.0,0.119,0.881,0.1901
240,241,Boston's been awesome.,0.0,0.672,0.328,0.6249
241,242,I also love Boston Legal...,0.0,0.583,0.417,0.6369
242,243,I actually want a volkswagen beetle.,0.0,0.302,0.698,0.0772
243,244,gawssh i hate london i hope he blows up and his guts fly everywhere and then birds eat his guts.,0.164,0.128,0.708,-0.2023
244,245,", Boston is great...",0.0,0.0,1.0,0.0
245,246,"The history here goes back to the summer of 1992, when the San Francisco Giants were terrible.",0.162,0.0,0.838,-0.4767
246,247,"besides, UCLA was a stupid dream...",0.459,0.0,0.541,-0.5267
247,248,I love Paris Hilton..,0.0,0.677,0.323,0.6369
248,249,Once again I'm slighted by the evil secretaries of UIUC.,0.328,0.0,0.672,-0.6597
249,250,I can see why he might have had problems with Karen but Toyota Alexa is useless and Jo is MENTAL!!!,0.274,0.0,0.726,-0.7526
250,251,Tom Cruise needs to suck it up and so does Scientology in general.,0.195,0.0,0.805,-0.4404
251,252,this stupid black honda..,0.531,0.0,0.469,-0.5267
252,253,i love the geico ones...,0.0,0.583,0.417,0.6369
253,254,"Apparently, MIT and Olin are awesome.",0.0,0.451,0.549,0.6249
254,255,"Man if you cant sell angry lefty bullshit in San Francisco, you probably would be challenges to sell ass on a troop ship....",0.249,0.137,0.614,-0.6483
255,256,I do like the Dell Inspiron E1705...,0.0,0.333,0.667,0.3612
256,257,I used to like Tom Cruise but the Matt Lauer interview really turned me off.,0.0,0.119,0.881,0.1901
257,258,The built-in mic for the ThinkPad is useless.,0.286,0.0,0.714,-0.4215
258,259,I'm loving Shanghai > > > ^ _ ^.,0.0,0.565,0.435,0.5994
259,260,"However you look at it, I've been here almost two weeks now and so far I absolutely love UCLA...",0.0,0.219,0.781,0.6962
260,261,And i've managed to cover all of my own food expenses as of thus far by working as Harvard's random task bitch -- doubly freaking sweet(,0.216,0.0,0.784,-0.765
261,262,berkley / oakland / san francisco were amazing...,0.0,0.0,1.0,0.0
262,263,Cs: I've heard San Francisco is beautiful..,0.0,0.0,1.0,0.0
263,264,i love ucla!..,0.0,0.818,0.182,0.6696
264,265,I loved Boston and MIT so much and still do.,0.0,0.328,0.672,0.5994
265,266,I love my 13 year old Toyota!..,0.0,0.473,0.527,0.6696
266,267,& i adore my little honda < 3.,0.0,0.474,0.526,0.5574
267,268,I hate Hyundai.,0.787,0.0,0.213,-0.5719
268,269,"If you can manage to coach while you're at Geico, that's awesome.",0.0,0.272,0.728,0.6249
269,270,I'm still not sure if I like London.,0.449,0.0,0.551,-0.4717
270,271,"This means we beat out schools like MIT, which is amazing for a relatively small, unassuming lil'IS department.",0.0,0.296,0.704,0.743
271,272,i hate american airlines....,0.649,0.0,0.351,-0.5719
272,273,"i knew i had crazy and stupid times in Seattle, and as much as i'd say tat i'm still partially fragile and lonely, i'm thru with it, for reals!!",0.27,0.0,0.73,-0.8353
273,274,"Let's face it, the New York Knicks are terrible.",0.279,0.0,0.721,-0.4767
274,275,There is a Taste of China right by GEICO that has great food.,0.0,0.272,0.728,0.6249
275,276,I loved the Lakers episode where he told that little blonde he wants to see a woman rule the world in his lifetime because women know how to look after the pack.,0.0,0.119,0.881,0.5994
276,277,"I love Angelina Jolie and i love you even more, also your music on your site is my fav.",0.0,0.449,0.551,0.9081
277,278,"Man: I'm progressive, but I like Hillary Clinton..",0.0,0.351,0.649,0.5023
278,279,I love Geico commercials and Capital One commercials.,0.0,0.412,0.588,0.6369
279,280,I want a tour of London on the back of that bike!,0.0,0.15,0.85,0.1511
280,281,"i hate the Lakers too but this isn't a basketball blog, so i won't go into it).",0.153,0.0,0.847,-0.3291
281,282,MIT's Naxos Music Library subscription is AWESOME..,0.0,0.0,1.0,0.0
282,283,But I miss Boston.,0.444,0.0,0.556,-0.1531
283,284,Stupid ass SONY Vaio LCD monitor finally burned out after 6 years...,0.434,0.0,0.566,-0.7845
284,285,I love the Los Angeles LAKERS!!!.,0.0,0.559,0.441,0.7249
285,286,"As much as I love the Lakers and Kobe, I still have to state the facts...",0.0,0.244,0.756,0.6369
286,287,well i'm gonna go enjoy being in seattle.....,0.0,0.469,0.531,0.6486
287,288,i love seattle so much.,0.0,0.583,0.417,0.6369
288,289,My Purdue Cal friends are awesome!..,0.0,0.404,0.596,0.5255
289,290,"Geico would be great, and I really hope that works out.",0.0,0.477,0.523,0.807
290,291,"Driving entailed driving through Harvard U, and horrible traffic on a Friday evening.",0.241,0.0,0.759,-0.5423
291,292,tom cruise sucks.,0.556,0.0,0.444,-0.3612
292,293,we have a boring as shit blue 2005 toyota carolla.,0.457,0.0,0.543,-0.7096
293,294,"usually, i can't at my house but i'm at the library but i moved into my aunts house in san carlos to go to school here because schools in san francisco sucks BIG TIME!",0.103,0.0,0.897,-0.5487
294,295,Have I told you I hate Tom Cruise?..,0.425,0.0,0.575,-0.5719
295,296,I like Honda...,0.0,0.714,0.286,0.3612
296,297,I hate Paris Hilton.,0.649,0.0,0.351,-0.5719
297,298,"Yep, I'm still in London, which is pretty awesome: P Remind me to post the million and one pictures that I took when I get back to Markham!...",0.0,0.308,0.692,0.8687
298,299,my awesome honda....: -(.,0.0,0.577,0.423,0.6249
299,300,I need some of that geico balboa stuff..,0.0,0.0,1.0,0.0
300,301,the fact that i love paris hilton or like the color pink...,0.0,0.427,0.573,0.7717
301,302,My current MacBook Pro is gorgeous.,0.0,0.444,0.556,0.6124
302,303,You are a fucking bitch and I think I may hate you even more than I hate Paris Hilton...,0.489,0.0,0.511,-0.9099
303,304,stupid lakers should have beat suns.....,0.405,0.0,0.595,-0.5267
304,305,I hate the exodus of subarus and honda crv's and volvos.,0.291,0.0,0.709,-0.5719
305,306,tom cruise sucks.,0.556,0.0,0.444,-0.3612
306,307,I can see why he might have had problems with Karen but Toyota Alexa is useless and Jo is MENTAL!!!,0.274,0.0,0.726,-0.7526
307,308,I loved Boston and MIT so much and still do.,0.0,0.328,0.672,0.5994
308,309,"I'm biased, I love Angelina Jolie..",0.226,0.452,0.323,0.4767
309,310,I hate Paris Hilton.,0.649,0.0,0.351,-0.5719
310,311,Toyota is doing some amazing things with fuel economy.,0.0,0.322,0.678,0.5859
311,312,I LOVE TOM CRUISE!,0.0,0.692,0.308,0.6696
312,313,"Set in London's delightful canal district Little Venice, The Colonnade Hotel is.....",0.0,0.257,0.743,0.5859
313,314,"i love Kappo Honda, which is across the street..",0.0,0.375,0.625,0.6369
314,315,tom cruise sucks.,0.556,0.0,0.444,-0.3612
